name,count
lol,206
<3,147
good,109
we,105
your,100
bb,95
very,95
babe,90
just,87
ok,81
now,76
:),75
what,73
up,67
out,65
how,63
they,62
see,59
also,58
if,56
u,56
he,55
when,54
about,53
or,52
cute,51
really,49
no,48
one,48
think,47
yes,47
you're,46
wanna,45
all,45
had,45
know,43
going,40
oh,40
people,40
time,39
would,39
some,38
right,38
there,38
i'm gonna,38
that's,37
them,37
her,36
want,36
i think,35
our,35
okay,35
will,34
i was,34
lmao,33
by,33
i like,33
feel,32
i don't,32
am,32
goodnight,31
to be,31
i have,31
it was,31
she,31
nice,31
make,30
coffee,30
on the,29
do you,29
sleep,28
and i,28
in the,28
i just,28
si,28
