name,count
ok,20
come,19
we,19
up,18
bb,17
wanna,15
when,11
eat,9
your,9
what,8
or,8
u,7
lol,7
i'm gonna,7
we can,6
out,6
by,6
also,6
are you,6
done,6
will,6
if,6
want,6
would,6
should,5
come up,5
our,5
baby,5
ok bb,5
see,5
coming,5
there,5
wake,5
take,5
now,5
:),5
just,5
can you,5
one,5
<3,5
he,4
about,4
home,4
bring,4
can go,4
could,4
come to,4
send,4
eggs,4
good,4
but i,4
very,4
go to,4
still,4
cute,4
:(,4
here,4
beebs,4
if you,4
work,4
wake up,4
bike,4
sleep,4
i'll be,3
other,3
we can go,3
hi,3
philz,3
i get,3
no,3
email,3
bbbb,3
wanna come,3
need,3
beb,3
